Hour,Date,P(kWh),h_max
00,2021-01-01,0,33391.0
01,2021-01-01,0,33391.0
02,2021-01-01,0,33391.0
03,2021-01-01,0,33391.0
04,2021-01-01,0,33391.0
05,2021-01-01,0,33391.0
06,2021-01-01,0,33391.0
07,2021-01-01,0,33391.0
08,2021-01-01,4,33395.0
09,2021-01-01,12,33407.0
10,2021-01-01,52,33459.0
11,2021-01-01,49,33508.0
12,2021-01-01,52,33560.0
13,2021-01-01,40,33600.0
14,2021-01-01,48,33648.0
15,2021-01-01,27,33675.0
16,2021-01-01,4,33679.0
17,2021-01-01,0,33679.0
18,2021-01-01,0,33679.0
19,2021-01-01,0,33679.0
20,2021-01-01,0,33679.0
21,2021-01-01,0,33679.0
22,2021-01-01,0,33679.0
23,2021-01-01,0,33679.0
Hour,Date,P(kWh),h_max
00,2021-01-02,0,33679.0
01,2021-01-02,0,33679.0
02,2021-01-02,0,33679.0
03,2021-01-02,0,33679.0
04,2021-01-02,0,33679.0
05,2021-01-02,0,33679.0
06,2021-01-02,0,33679.0
07,2021-01-02,0,33679.0
08,2021-01-02,5,33684.0
09,2021-01-02,11,33695.0
10,2021-01-02,53,33748.0
11,2021-01-02,68,33816.0
12,2021-01-02,74,33890.0
13,2021-01-02,72,33962.0
14,2021-01-02,63,34025.0
15,2021-01-02,44,34069.0
16,2021-01-02,16,34085.0
17,2021-01-02,1,34086.0
18,2021-01-02,0,34086.0
19,2021-01-02,0,34086.0
20,2021-01-02,0,34086.0
21,2021-01-02,0,34086.0
22,2021-01-02,0,34086.0
23,2021-01-02,0,34086.0
Hour,Date,P(kWh),h_max
00,2021-01-03,0,34086.0
01,2021-01-03,0,34086.0
02,2021-01-03,0,34086.0
03,2021-01-03,0,34086.0
04,2021-01-03,0,34086.0
05,2021-01-03,0,34086.0
06,2021-01-03,0,34086.0
07,2021-01-03,0,34086.0
08,2021-01-03,4,34090.0
09,2021-01-03,10,34100.0
10,2021-01-03,56,34156.0
11,2021-01-03,73,34229.0
12,2021-01-03,67,34296.0
13,2021-01-03,61,34357.0
14,2021-01-03,27,34384.0
15,2021-01-03,18,34402.0
16,2021-01-03,7,34409.0
17,2021-01-03,0,34409.0
18,2021-01-03,0,34409.0
19,2021-01-03,0,34409.0
20,2021-01-03,0,34409.0
21,2021-01-03,0,34409.0
22,2021-01-03,0,34409.0
23,2021-01-03,0,34409.0
Hour,Date,P(kWh),h_max
00,2021-01-04,0,34409.0
01,2021-01-04,0,34409.0
02,2021-01-04,0,34409.0
03,2021-01-04,0,34409.0
04,2021-01-04,0,34409.0
05,2021-01-04,0,34409.0
06,2021-01-04,0,34409.0
07,2021-01-04,1,34410.0
08,2021-01-04,4,34414.0
09,2021-01-04,11,34425.0
10,2021-01-04,52,34477.0
