Hour,Date,P(kWh),h_max
00,2021-09-01,0,142152.0
01,2021-09-01,0,142152.0
02,2021-09-01,0,142152.0
03,2021-09-01,0,142152.0
04,2021-09-01,0,142152.0
05,2021-09-01,0,142152.0
06,2021-09-01,0,142152.0
07,2021-09-01,4,142156.0
08,2021-09-01,11,142167.0
09,2021-09-01,16,142183.0
10,2021-09-01,12,142195.0
11,2021-09-01,13,142208.0
12,2021-09-01,20,142228.0
13,2021-09-01,21,142249.0
14,2021-09-01,20,142269.0
15,2021-09-01,14,142283.0
16,2021-09-01,6,142289.0
17,2021-09-01,4,142293.0
18,2021-09-01,1,142294.0
19,2021-09-01,0,142294.0
20,2021-09-01,0,142294.0
21,2021-09-01,0,142294.0
22,2021-09-01,0,142294.0
23,2021-09-01,0,142294.0
Hour,Date,P(kWh),h_max
00,2021-09-02,0,142294.0
07,2021-09-02,10,142304.0
08,2021-09-02,19,142323.0
09,2021-09-02,24,142347.0
10,2021-09-02,44,142391.0
11,2021-09-02,34,142425.0
12,2021-09-02,27,142452.0
13,2021-09-02,37,142489.0
14,2021-09-02,26,142515.0
15,2021-09-02,35,142550.0
16,2021-09-02,16,142566.0
17,2021-09-02,10,142576.0
18,2021-09-02,4,142580.0
19,2021-09-02,0,142580.0
20,2021-09-02,0,142580.0
21,2021-09-02,0,142580.0
22,2021-09-02,0,142580.0
23,2021-09-02,0,142580.0
Hour,Date,P(kWh),h_max
00,2021-09-03,0,142580.0
07,2021-09-03,10,142590.0
08,2021-09-03,25,142615.0
09,2021-09-03,40,142655.0
10,2021-09-03,49,142704.0
11,2021-09-03,44,142748.0
12,2021-09-03,75,142823.0
13,2021-09-03,47,142870.0
14,2021-09-03,55,142925.0
15,2021-09-03,37,142962.0
16,2021-09-03,38,143000.0
17,2021-09-03,19,143019.0
18,2021-09-03,2,143021.0
19,2021-09-03,0,143021.0
20,2021-09-03,0,143021.0
21,2021-09-03,0,143021.0
22,2021-09-03,0,143021.0
23,2021-09-03,0,143021.0
Hour,Date,P(kWh),h_max
00,2021-09-04,0,143021.0
07,2021-09-04,14,143035.0
08,2021-09-04,26,143061.0
09,2021-09-04,44,143105.0
10,2021-09-04,61,143166.0
11,2021-09-04,62,143228.0
12,2021-09-04,57,143285.0
13,2021-09-04,75,143360.0
14,2021-09-04,64,143424.0
15,2021-09-04,43,143467.0
16,2021-09-04,27,143494.0
17,2021-09-04,11,143505.0
18,2021-09-04,2,143507.0
19,2021-09-04,0,143507.0
20,2021-09-04,0,143507.0
21,2021-09-04,0,143507.0
22,2021-09-04,0,143507.0
23,2021-09-04,0,143507.0
Hour,Date,P(kWh),h_max
00,2021-09-05,0,143507.0
07,2021-09-05,13,143520.0
08,2021-09-05,19,143539.0
09,2021-09-05,28,143567.0
10,2021-09-05,31,143598.0
11,2021-09-05,43,143641.0
12,2021-09-05,45,143686.0
13,2021-09-05,41,143727.0
14,2021-09-05,37,143764.0
15,2021-09-05,28,143792.0
16,2021-09-05,9,143801.0
17,2021-09-05,4,143805.0
18,2021-09-05,1,143806.0
19,2021-09-05,0,143806.0
20,2021-09-05,0,143806.0
21,2021-09-05,0,143806.0
22,2021-09-05,0,143806.0
23,2021-09-05,0,143806.0
Hour,Date,P(kWh),h_max
00,2021-09-06,0,143806.0
07,2021-09-06,9,143815.0
08,2021-09-06,18,143833.0
09,2021-09-06,30,143863.0
10,2021-09-06,26,143889.0
11,2021-09-06,22,143911.0
12,2021-09-06,27,143938.0
13,2021-09-06,27,143965.0
14,2021-09-06,24,143989.0
15,2021-09-06,12,144001.0
16,2021-09-06,4,144005.0
17,2021-09-06,1,144006.0
18,2021-09-06,1,144007.0
19,2021-09-06,0,144007.0
20,2021-09-06,0,144007.0
21,2021-09-06,0,144007.0
22,2021-09-06,0,144007.0
23,2021-09-06,0,144007.0
Hour,Date,P(kWh),h_max
00,2021-09-07,0,144007.0
07,2021-09-07,2,144009.0
08,2021-09-07,3,144012.0
09,2021-09-07,5,144017.0
10,2021-09-07,8,144025.0
11,2021-09-07,10,144035.0
12,2021-09-07,21,144056.0
13,2021-09-07,11,144067.0
14,2021-09-07,13,144080.0
15,2021-09-07,12,144092.0
16,2021-09-07,6,144098.0
17,2021-09-07,3,144101.0
18,2021-09-07,0,144101.0
19,2021-09-07,0,144101.0
20,2021-09-07,0,144101.0
21,2021-09-07,0,144101.0
22,2021-09-07,0,144101.0
23,2021-09-07,0,144101.0
