Hour,Date,P(kWh),h_max
00,2021-02-01,0,55207.0
01,2021-02-01,0,55207.0
02,2021-02-01,0,55207.0
03,2021-02-01,0,55207.0
04,2021-02-01,0,55207.0
05,2021-02-01,0,55207.0
06,2021-02-01,0,55207.0
07,2021-02-01,0,55207.0
08,2021-02-01,2,55209.0
09,2021-02-01,10,55219.0
10,2021-02-01,19,55238.0
11,2021-02-01,23,55261.0
12,2021-02-01,22,55283.0
13,2021-02-01,16,55299.0
14,2021-02-01,7,55306.0
15,2021-02-01,10,55316.0
16,2021-02-01,9,55325.0
17,2021-02-01,1,55326.0
18,2021-02-01,0,55326.0
19,2021-02-01,0,55326.0
20,2021-02-01,0,55326.0
21,2021-02-01,0,55326.0
22,2021-02-01,0,55326.0
23,2021-02-01,0,55326.0
Hour,Date,P(kWh),h_max
00,2021-02-02,0,55326.0
01,2021-02-02,0,55326.0
02,2021-02-02,0,55326.0
03,2021-02-02,0,55326.0
04,2021-02-02,0,55326.0
05,2021-02-02,0,55326.0
06,2021-02-02,0,55326.0
07,2021-02-02,1,55327.0
08,2021-02-02,7,55334.0
09,2021-02-02,28,55362.0
10,2021-02-02,48,55410.0
11,2021-02-02,64,55474.0
12,2021-02-02,72,55546.0
13,2021-02-02,73,55619.0
14,2021-02-02,66,55685.0
15,2021-02-02,40,55725.0
16,2021-02-02,12,55737.0
17,2021-02-02,3,55740.0
18,2021-02-02,0,55740.0
19,2021-02-02,0,55740.0
20,2021-02-02,0,55740.0
21,2021-02-02,0,55740.0
22,2021-02-02,0,55740.0
23,2021-02-02,0,55740.0
Hour,Date,P(kWh),h_max
00,2021-02-03,0,55740.0
01,2021-02-03,0,55740.0
02,2021-02-03,0,55740.0
03,2021-02-03,0,55740.0
04,2021-02-03,0,55740.0
05,2021-02-03,0,55740.0
06,2021-02-03,0,55740.0
07,2021-02-03,0,55740.0
08,2021-02-03,4,55744.0
09,2021-02-03,14,55758.0
10,2021-02-03,43,55801.0
11,2021-02-03,60,55861.0
12,2021-02-03,69,55930.0
13,2021-02-03,58,55988.0
14,2021-02-03,52,56040.0
15,2021-02-03,25,56065.0
16,2021-02-03,16,56081.0
17,2021-02-03,2,56083.0
18,2021-02-03,0,56083.0
19,2021-02-03,0,56083.0
20,2021-02-03,0,56083.0
21,2021-02-03,0,56083.0
22,2021-02-03,0,56083.0
23,2021-02-03,0,56083.0
Hour,Date,P(kWh),h_max
00,2021-02-04,0,56083.0
01,2021-02-04,0,56083.0
02,2021-02-04,0,56083.0
