Hour,Date,P(kWh),h_max
00,2021-07-01,0,116649.0
01,2021-07-01,0,116649.0
02,2021-07-01,0,116649.0
03,2021-07-01,0,116649.0
04,2021-07-01,0,116649.0
05,2021-07-01,2,116651.0
06,2021-07-01,6,116657.0
07,2021-07-01,16,116673.0
08,2021-07-01,31,116704.0
09,2021-07-01,29,116733.0
10,2021-07-01,43,116776.0
11,2021-07-01,65,116841.0
12,2021-07-01,65,116906.0
13,2021-07-01,57,116963.0
14,2021-07-01,61,117024.0
15,2021-07-01,59,117083.0
16,2021-07-01,38,117121.0
17,2021-07-01,27,117148.0
18,2021-07-01,13,117161.0
19,2021-07-01,2,117163.0
20,2021-07-01,0,117163.0
21,2021-07-01,0,117163.0
22,2021-07-01,0,117163.0
23,2021-07-01,0,117163.0
Hour,Date,P(kWh),h_max
00,2021-07-02,0,117163.0
01,2021-07-02,0,117163.0
02,2021-07-02,0,117163.0
03,2021-07-02,0,117163.0
04,2021-07-02,0,117163.0
05,2021-07-02,0,117163.0
06,2021-07-02,5,117168.0
07,2021-07-02,9,117177.0
08,2021-07-02,12,117189.0
09,2021-07-02,22,117211.0
10,2021-07-02,31,117242.0
11,2021-07-02,64,117306.0
12,2021-07-02,74,117380.0
13,2021-07-02,61,117441.0
14,2021-07-02,59,117500.0
15,2021-07-02,40,117540.0
16,2021-07-02,29,117569.0
17,2021-07-02,28,117597.0
18,2021-07-02,9,117606.0
19,2021-07-02,2,117608.0
20,2021-07-02,0,117608.0
21,2021-07-02,0,117608.0
22,2021-07-02,0,117608.0
23,2021-07-02,0,117608.0
Hour,Date,P(kWh),h_max
00,2021-07-03,0,117608.0
01,2021-07-03,0,117608.0
02,2021-07-03,0,117608.0
03,2021-07-03,0,117608.0
04,2021-07-03,0,117608.0
05,2021-07-03,1,117609.0
06,2021-07-03,4,117613.0
07,2021-07-03,10,117623.0
08,2021-07-03,22,117645.0
09,2021-07-03,31,117676.0
10,2021-07-03,30,117706.0
11,2021-07-03,30,117736.0
12,2021-07-03,20,117756.0
13,2021-07-03,19,117775.0
14,2021-07-03,10,117785.0
15,2021-07-03,7,117792.0
16,2021-07-03,2,117794.0
17,2021-07-03,2,117796.0
18,2021-07-03,0,117796.0
19,2021-07-03,0,117796.0
20,2021-07-03,0,117796.0
21,2021-07-03,0,117796.0
22,2021-07-03,0,117796.0
23,2021-07-03,0,117796.0
Hour,Date,P(kWh),h_max
00,2021-07-04,0,117796.0
01,2021-07-04,0,117796.0
02,2021-07-04,0,117796.0
03,2021-07-04,0,117796.0
04,2021-07-04,0,117796.0
05,2021-07-04,0,117796.0
06,2021-07-04,1,117797.0
07,2021-07-04,1,117798.0
08,2021-07-04,4,117802.0
09,2021-07-04,5,117807.0
10,2021-07-04,4,117811.0
11,2021-07-04,7,117818.0
12,2021-07-04,10,117828.0
13,2021-07-04,14,117842.0
14,2021-07-04,8,117850.0
15,2021-07-04,7,117857.0
16,2021-07-04,7,117864.0
17,2021-07-04,6,117870.0
18,2021-07-04,5,117875.0
19,2021-07-04,2,117877.0
20,2021-07-04,0,117877.0
21,2021-07-04,0,117877.0
