Hour,Date,P(kWh),h_max
00,2021-08-01,0,131240.0
01,2021-08-01,0,131240.0
02,2021-08-01,0,131240.0
03,2021-08-01,0,131240.0
04,2021-08-01,0,131240.0
05,2021-08-01,0,131240.0
06,2021-08-01,2,131242.0
07,2021-08-01,8,131250.0
08,2021-08-01,8,131258.0
09,2021-08-01,5,131263.0
10,2021-08-01,26,131289.0
11,2021-08-01,22,131311.0
12,2021-08-01,30,131341.0
13,2021-08-01,16,131357.0
14,2021-08-01,25,131382.0
15,2021-08-01,15,131397.0
16,2021-08-01,11,131408.0
17,2021-08-01,6,131414.0
18,2021-08-01,2,131416.0
19,2021-08-01,0,131416.0
20,2021-08-01,0,131416.0
21,2021-08-01,0,131416.0
22,2021-08-01,0,131416.0
23,2021-08-01,0,131416.0
Hour,Date,P(kWh),h_max
00,2021-08-02,0,131416.0
01,2021-08-02,0,131416.0
02,2021-08-02,0,131416.0
03,2021-08-02,0,131416.0
04,2021-08-02,0,131416.0
05,2021-08-02,0,131416.0
06,2021-08-02,2,131418.0
07,2021-08-02,5,131423.0
08,2021-08-02,12,131435.0
09,2021-08-02,20,131455.0
10,2021-08-02,24,131479.0
11,2021-08-02,21,131500.0
12,2021-08-02,25,131525.0
13,2021-08-02,33,131558.0
14,2021-08-02,32,131590.0
15,2021-08-02,42,131632.0
16,2021-08-02,37,131669.0
17,2021-08-02,27,131696.0
18,2021-08-02,17,131713.0
19,2021-08-02,1,131714.0
20,2021-08-02,0,131714.0
21,2021-08-02,0,131714.0
22,2021-08-02,0,131714.0
23,2021-08-02,0,131714.0
Hour,Date,P(kWh),h_max
00,2021-08-03,0,131714.0
01,2021-08-03,0,131714.0
02,2021-08-03,0,131714.0
03,2021-08-03,0,131714.0
04,2021-08-03,0,131714.0
05,2021-08-03,0,131714.0
06,2021-08-03,4,131718.0
07,2021-08-03,11,131729.0
08,2021-08-03,29,131758.0
09,2021-08-03,26,131784.0
10,2021-08-03,28,131812.0
11,2021-08-03,54,131866.0
12,2021-08-03,68,131934.0
13,2021-08-03,76,132010.0
14,2021-08-03,73,132083.0
15,2021-08-03,62,132145.0
16,2021-08-03,35,132180.0
17,2021-08-03,19,132199.0
18,2021-08-03,7,132206.0
19,2021-08-03,1,132207.0
20,2021-08-03,0,132207.0
21,2021-08-03,0,132207.0
22,2021-08-03,0,132207.0
23,2021-08-03,0,132207.0
Hour,Date,P(kWh),h_max
00,2021-08-04,0,132207.0
01,2021-08-04,0,132207.0
02,2021-08-04,0,132207.0
03,2021-08-04,0,132207.0
04,2021-08-04,0,132207.0
05,2021-08-04,1,132208.0
06,2021-08-04,4,132212.0
07,2021-08-04,10,132222.0
08,2021-08-04,28,132250.0
09,2021-08-04,34,132284.0
10,2021-08-04,56,132340.0
11,2021-08-04,46,132386.0
12,2021-08-04,50,132436.0
13,2021-08-04,72,132508.0
14,2021-08-04,65,132573.0
15,2021-08-04,33,132606.0
16,2021-08-04,16,132622.0
17,2021-08-04,18,132640.0
18,2021-08-04,8,132648.0
19,2021-08-04,0,132648.0
20,2021-08-04,0,132648.0
21,2021-08-04,0,132648.0
22,2021-08-04,0,132648.0
23,2021-08-04,0,132648.0
Hour,Date,P(kWh),h_max
00,2021-08-05,0,132648.0
01,2021-08-05,0,132648.0
02,2021-08-05,0,132648.0
03,2021-08-05,0,132648.0
04,2021-08-05,0,132648.0
05,2021-08-05,1,132649.0
06,2021-08-05,3,132652.0
07,2021-08-05,12,132664.0
08,2021-08-05,23,132687.0
09,2021-08-05,45,132732.0
10,2021-08-05,61,132793.0
11,2021-08-05,54,132847.0
12,2021-08-05,70,132917.0
13,2021-08-05,76,132993.0
14,2021-08-05,65,133058.0
15,2021-08-05,63,133121.0
16,2021-08-05,52,133173.0
17,2021-08-05,34,133207.0
18,2021-08-05,13,133220.0
19,2021-08-05,1,133221.0
20,2021-08-05,0,133221.0
21,2021-08-05,0,133221.0
22,2021-08-05,0,133221.0
23,2021-08-05,0,133221.0
Hour,Date,P(kWh),h_max
00,2021-08-06,0,133221.0
01,2021-08-06,0,133221.0
02,2021-08-06,0,133221.0
03,2021-08-06,0,133221.0
04,2021-08-06,0,133221.0
05,2021-08-06,0,133221.0
06,2021-08-06,5,133226.0
07,2021-08-06,16,133242.0
08,2021-08-06,25,133267.0
09,2021-08-06,41,133308.0
10,2021-08-06,60,133368.0
11,2021-08-06,65,133433.0
12,2021-08-06,61,133494.0
13,2021-08-06,76,133570.0
14,2021-08-06,36,133606.0
15,2021-08-06,42,133648.0
16,2021-08-06,40,133688.0
17,2021-08-06,7,133695.0
18,2021-08-06,6,133701.0
19,2021-08-06,0,133701.0
20,2021-08-06,0,133701.0
21,2021-08-06,0,133701.0
22,2021-08-06,0,133701.0
23,2021-08-06,0,133701.0
Hour,Date,P(kWh),h_max
00,2021-08-07,0,133701.0
01,2021-08-07,0,133701.0
02,2021-08-07,0,133701.0
03,2021-08-07,0,133701.0
04,2021-08-07,0,133701.0
05,2021-08-07,0,133701.0
06,2021-08-07,2,133703.0
07,2021-08-07,11,133714.0
08,2021-08-07,29,133743.0
09,2021-08-07,48,133791.0
10,2021-08-07,60,133851.0
11,2021-08-07,49,133900.0
12,2021-08-07,65,133965.0
13,2021-08-07,40,134005.0
14,2021-08-07,95,134100.0
15,2021-08-07,47,134147.0
16,2021-08-07,33,134180.0
17,2021-08-07,26,134206.0
18,2021-08-07,8,134214.0
19,2021-08-07,2,134216.0
20,2021-08-07,0,134216.0
21,2021-08-07,0,134216.0
22,2021-08-07,0,134216.0
23,2021-08-07,0,134216.0
Hour,Date,P(kWh),h_max
00,2021-08-08,0,134216.0
01,2021-08-08,0,134216.0
02,2021-08-08,0,134216.0
03,2021-08-08,0,134216.0
04,2021-08-08,0,134216.0
05,2021-08-08,0,134216.0
06,2021-08-08,4,134220.0
07,2021-08-08,10,134230.0
08,2021-08-08,19,134249.0
09,2021-08-08,40,134289.0
10,2021-08-08,47,134336.0
11,2021-08-08,24,134360.0
12,2021-08-08,45,134405.0
13,2021-08-08,22,134427.0
14,2021-08-08,23,134450.0
15,2021-08-08,35,134485.0
16,2021-08-08,24,134509.0
17,2021-08-08,1,134510.0
18,2021-08-08,3,134513.0
19,2021-08-08,2,134515.0
20,2021-08-08,0,134515.0
21,2021-08-08,0,134515.0
22,2021-08-08,0,134515.0
23,2021-08-08,0,134515.0
Hour,Date,P(kWh),h_max
00,2021-08-09,0,134515.0
01,2021-08-09,0,134515.0
02,2021-08-09,0,134515.0
03,2021-08-09,0,134515.0
04,2021-08-09,0,134515.0
05,2021-08-09,0,134515.0
06,2021-08-09,2,134517.0
07,2021-08-09,10,134527.0
08,2021-08-09,29,134556.0
09,2021-08-09,42,134598.0
10,2021-08-09,56,134654.0
11,2021-08-09,32,134686.0
12,2021-08-09,95,134781.0
13,2021-08-09,56,134837.0
14,2021-08-09,47,134884.0
15,2021-08-09,39,134923.0
16,2021-08-09,35,134958.0
17,2021-08-09,17,134975.0
18,2021-08-09,6,134981.0
19,2021-08-09,0,134981.0
20,2021-08-09,0,134981.0
21,2021-08-09,0,134981.0
22,2021-08-09,0,134981.0
23,2021-08-09,0,134981.0
Hour,Date,P(kWh),h_max
00,2021-08-10,0,134981.0
01,2021-08-10,0,134981.0
02,2021-08-10,0,134981.0
03,2021-08-10,0,134981.0
04,2021-08-10,0,134981.0
05,2021-08-10,0,134981.0
06,2021-08-10,3,134984.0
07,2021-08-10,11,134995.0
08,2021-08-10,23,135018.0
09,2021-08-10,41,135059.0
10,2021-08-10,44,135103.0
11,2021-08-10,78,135181.0
12,2021-08-10,77,135258.0
13,2021-08-10,78,135336.0
14,2021-08-10,74,135410.0
15,2021-08-10,64,135474.0
16,2021-08-10,50,135524.0
17,2021-08-10,30,135554.0
18,2021-08-10,10,135564.0
19,2021-08-10,1,135565.0
20,2021-08-10,0,135565.0
21,2021-08-10,0,135565.0
22,2021-08-10,0,135565.0
23,2021-08-10,0,135565.0
Hour,Date,P(kWh),h_max
00,2021-08-11,0,135565.0
01,2021-08-11,0,135565.0
02,2021-08-11,0,135565.0
03,2021-08-11,0,135565.0
04,2021-08-11,0,135565.0
05,2021-08-11,0,135565.0
06,2021-08-11,3,135568.0
07,2021-08-11,13,135581.0
08,2021-08-11,26,135607.0
09,2021-08-11,28,135635.0
10,2021-08-11,46,135681.0
11,2021-08-11,55,135736.0
12,2021-08-11,53,135789.0
13,2021-08-11,63,135852.0
14,2021-08-11,65,135917.0
15,2021-08-11,51,135968.0
16,2021-08-11,41,136009.0
17,2021-08-11,23,136032.0
18,2021-08-11,7,136039.0
19,2021-08-11,1,136040.0
20,2021-08-11,0,136040.0
21,2021-08-11,0,136040.0
22,2021-08-11,0,136040.0
23,2021-08-11,0,136040.0
Hour,Date,P(kWh),h_max
00,2021-08-12,0,136040.0
01,2021-08-12,0,136040.0
02,2021-08-12,0,136040.0
03,2021-08-12,0,136040.0
04,2021-08-12,0,136040.0
05,2021-08-12,0,136040.0
06,2021-08-12,3,136043.0
07,2021-08-12,12,136055.0
08,2021-08-12,26,136081.0
09,2021-08-12,37,136118.0
10,2021-08-12,49,136167.0
11,2021-08-12,56,136223.0
12,2021-08-12,38,136261.0
13,2021-08-12,36,136297.0
14,2021-08-12,36,136333.0
15,2021-08-12,30,136363.0
16,2021-08-12,17,136380.0
17,2021-08-12,12,136392.0
18,2021-08-12,4,136396.0
19,2021-08-12,0,136396.0
20,2021-08-12,0,136396.0
21,2021-08-12,0,136396.0
22,2021-08-12,0,136396.0
23,2021-08-12,0,136396.0
Hour,Date,P(kWh),h_max
00,2021-08-13,0,136396.0
01,2021-08-13,0,136396.0
02,2021-08-13,0,136396.0
03,2021-08-13,0,136396.0
04,2021-08-13,0,136396.0
05,2021-08-13,0,136396.0
06,2021-08-13,4,136400.0
07,2021-08-13,10,136410.0
08,2021-08-13,15,136425.0
09,2021-08-13,22,136447.0
10,2021-08-13,30,136477.0
11,2021-08-13,33,136510.0
12,2021-08-13,34,136544.0
13,2021-08-13,23,136567.0
14,2021-08-13,29,136596.0
15,2021-08-13,22,136618.0
16,2021-08-13,19,136637.0
17,2021-08-13,13,136650.0
18,2021-08-13,3,136653.0
19,2021-08-13,0,136653.0
20,2021-08-13,0,136653.0
21,2021-08-13,0,136653.0
22,2021-08-13,0,136653.0
23,2021-08-13,0,136653.0
Hour,Date,P(kWh),h_max
00,2021-08-14,0,136653.0
01,2021-08-14,0,136653.0
02,2021-08-14,0,136653.0
03,2021-08-14,0,136653.0
04,2021-08-14,0,136653.0
05,2021-08-14,0,136653.0
06,2021-08-14,3,136656.0
07,2021-08-14,12,136668.0
08,2021-08-14,14,136682.0
09,2021-08-14,19,136701.0
10,2021-08-14,30,136731.0
11,2021-08-14,34,136765.0
12,2021-08-14,49,136814.0
13,2021-08-14,68,136882.0
14,2021-08-14,62,136944.0
15,2021-08-14,34,136978.0
16,2021-08-14,27,137005.0
17,2021-08-14,14,137019.0
18,2021-08-14,7,137026.0
19,2021-08-14,0,137026.0
20,2021-08-14,0,137026.0
21,2021-08-14,0,137026.0
22,2021-08-14,0,137026.0
23,2021-08-14,0,137026.0
Hour,Date,P(kWh),h_max
00,2021-08-15,0,137026.0
01,2021-08-15,0,137026.0
02,2021-08-15,0,137026.0
03,2021-08-15,0,137026.0
04,2021-08-15,0,137026.0
05,2021-08-15,0,137026.0
06,2021-08-15,3,137029.0
